,x,y
0,211,11
1,210,12
2,209,13
3,208,14
4,207,15
5,207,16
6,206,17
7,205,18
8,204,19
9,203,20
10,202,21
11,201,22
12,200,23
13,199,24
14,198,25
15,197,26
16,197,27
17,196,28
18,195,29
19,194,30
20,193,31
21,192,32
22,191,33
23,190,34
24,189,35
25,188,36
26,187,36
27,186,37
28,185,38
29,184,39
30,183,40
31,182,41
32,181,42
33,180,43
34,179,43
35,178,44
36,177,45
37,176,46
38,175,47
39,174,47
40,173,48
41,172,49
42,171,50
43,170,50
44,169,51
45,168,52
46,167,52
47,166,53
48,165,54
49,164,54
50,163,55
51,162,55
52,161,56
53,160,56
54,159,57
55,158,57
56,157,58
57,156,58
58,155,59
59,154,59
60,153,60
61,152,60
62,151,61
63,150,61
64,149,61
65,148,62
66,147,62
67,146,62
68,145,63
69,144,63
70,143,63
71,142,64
72,141,64
73,140,64
74,139,65
75,138,65
76,137,65
77,136,66
78,135,66
79,134,66
80,133,67
81,132,67
82,131,67
83,130,67
84,129,68
85,128,68
86,127,68
87,126,69
88,125,69
89,124,69
90,123,69
91,122,70
92,121,70
93,120,70
94,119,71
95,118,71
96,117,71
97,116,72
98,115,72
99,114,72
100,113,73
101,112,73
102,111,73
103,110,74
104,109,74
105,108,74
106,107,75
107,106,75
108,105,76
109,104,76
110,103,76
111,102,77
112,101,77
113,100,78
114,99,78
115,98,78
116,97,79
117,96,79
118,95,80
119,94,80
120,93,81
121,92,81
122,91,81
123,90,82
124,89,82
125,88,83
126,87,83
127,86,84
128,85,84
129,84,85
130,83,85
131,82,86
132,81,86
133,80,87
134,79,87
135,78,88
136,77,88
137,76,89
138,75,89
139,74,90
140,73,90
141,72,91
142,71,91
143,70,92
144,69,93
145,68,93
146,67,94
147,66,94
148,65,95
149,64,95
150,63,96
151,62,97
152,61,97
153,60,98
154,59,98
155,58,99
156,57,99
157,56,100
158,55,101
159,54,101
160,53,102
161,52,103
162,51,103
163,50,104
164,49,104
165,48,105
166,47,106
167,46,106
168,45,107
169,44,108
170,43,108
171,42,109
172,41,110
173,40,110
174,39,111
175,38,111
176,37,112
177,36,113
178,35,114
179,34,114
180,33,115
181,32,116
182,31,116
183,30,117
184,29,118
185,28,118
186,27,119
187,26,120
188,25,120
189,24,121
190,23,122
191,22,122
192,21,123
193,20,124
194,19,125
195,18,125
196,17,126
197,17,126
